candidate,state,e_day_mu,e_day_sigma,run_date
Harris,Maine 1,0.2312982047602476,0.19141030527884867,2024-09-09
Biden,Maine 2,-0.27965166869658814,0.19342675389793695,2024-09-09
Harris,Maine 2,-0.3874678529609558,0.19677898896998028,2024-09-09
Biden,Maryland,0.5706637032752612,0.20490600113862395,2024-09-09
Harris,Maryland,0.4585605517360388,0.20011458798941875,2024-09-09
Biden,Massachusetts,0.5763016695644758,0.2082379977319178,2024-09-09
Harris,Massachusetts,0.46610613198392786,0.2009313613046731,2024-09-09
Biden,Michigan,-0.06406912390171203,0.1898958203157894,2024-09-09
Harris,Michigan,-0.16976881681546704,0.18897353817993545,2024-09-09
Biden,Minnesota,0.01529418248221374,0.1898889561584244,2024-09-09
Harris,Minnesota,-0.08860691784651123,0.1910785744271738,2024-09-09
Biden,Mississippi,-0.4618317436276158,0.20041497627205845,2024-09-09
Harris,Mississippi,-0.5749085528399868,0.2061991268745327,2024-09-09
Biden,Missouri,-0.454851199954467,0.19973984102579512,2024-09-09
Harris,Missouri,-0.5640272577343647,0.20815325194081244,2024-09-09
Biden,Montana,-0.4826428740290096,0.2042694332294986,2024-09-09
Harris,Montana,-0.5937885072039946,0.20957099608965504,2024-09-09
Biden,Nebraska,-0.5508192816190471,0.20663115215590008,2024-09-09
Harris,Nebraska,-0.6651456960054605,0.21155021052757053,2024-09-09
Biden,Nebraska 1,-0.46135176701501784,0.2012364156826465,2024-09-09
Harris,Nebraska 1,-0.5762633240348971,0.20689690712404504,2024-09-09
Biden,Nebraska 2,-0.01595466064124127,0.1881377667475709,2024-09-09
Harris,Nebraska 2,-0.1230764249069948,0.18941152440638523,2024-09-09
Biden,Nebraska 3,-1.4385882907009022,0.3246775826174055,2024-09-09
Harris,Nebraska 3,-1.6176664419510816,0.37129201846524645,2024-09-09
Biden,Nevada,-0.05355278199934027,0.190910260486356,2024-09-09
Harris,Nevada,-0.1559551903578634,0.1896790987241492,2024-09-09
Biden,New Hampshire,0.01394894161756459,0.18990508803482847,2024-09-09
Harris,New Hampshire,-0.09238811275429448,0.18841740940986024,2024-09-09
Biden,New Jersey,0.21325987609372804,0.1928370297524633,2024-09-09
Harris,New Jersey,0.10965416070386698,0.18984077889854128,2024-09-09
Biden,New Mexico,0.11430343465995088,0.1883643257976619,2024-09-09
Harris,New Mexico,0.00656060433216732,0.18929078811133887,2024-09-09
Biden,New York,0.37502796321314313,0.19820617494828544,2024-09-09
Harris,New York,0.26498749334733807,0.1934728055427793,2024-09-09
Biden,North Carolina,-0.14091082924199338,0.1943268535263197,2024-09-09
Harris,North Carolina,-0.2505097253591065,0.19219307954909257,2024-09-09
Biden,North Dakota,-0.8827016241007855,0.23555845082028576,2024-09-09
Harris,North Dakota,-1.0170631761512634,0.24542240714759905,2024-09-09
Biden,Ohio,-0.2755523897962638,0.1933174252831679,2024-09-09
Harris,Ohio,-0.3848029755717313,0.19859139246052815,2024-09-09
Biden,Oklahoma,-0.8696323936627102,0.23120607478757607,2024-09-09
Harris,Oklahoma,-0.99971263479912,0.244621501395346,2024-09-09
Biden,Oregon,0.20634549964176369,0.1906571771660401,2024-09-09
Harris,Oregon,0.1020145212372097,0.18939454396907177,2024-09-09
Biden,Pennsylvania,-0.08766215006472776,0.19278747852158112,2024-09-09
Harris,Pennsylvania,-0.19595071703184536,0.1919914097131682,2024-09-09
Biden,Rhode Island,0.3065438962014359,0.19295151200767305,2024-09-09
Harris,Rhode Island,0.1994945127842216,0.19124888145731103,2024-09-09
Biden,South Carolina,-0.36380011105507665,0.19873541558131688,2024-09-09
Harris,South Carolina,-0.47450958648647024,0.1993855803631762,2024-09-09
Biden,South Dakota,-0.7040320532629587,0.21689589236842785,2024-09-09
Harris,South Dakota,-0.8264049760443477,0.22694528733257316,2024-09-09
Biden,Tennessee,-0.6222012331502149,0.2121634161955839,2024-09-09
Harris,Tennessee,-0.7386851815221213,0.22063524795844677,2024-09-09
Biden,Texas,-0.2405443036582125,0.19358396595276753,2024-09-09
Harris,Texas,-0.3480399095852219,0.19387088192936747,2024-09-09
Biden,Utah,-0.5721001843008862,0.20498446521643185,2024-09-09
Harris,Utah,-0.6922151444686134,0.21487787629843777,2024-09-09
Biden,Vermont,0.6275724232979443,0.2092953207692484,2024-09-09
Harris,Vermont,0.5125571287614774,0.2022398428345883,2024-09-09
Biden,Virginia,0.0795905736545656,0.1878799786934821,2024-09-09
Harris,Virginia,-0.02658914903320163,0.1907838561648245,2024-09-09
Biden,Washington,0.2900407054246897,0.1947855521098033,2024-09-09
Harris,Washington,0.18022760604628468,0.18921836734826145,2024-09-09
Biden,West Virginia,-1.0132838724443929,0.24780629697043305,2024-09-09
Harris,West Virginia,-1.156764850841955,0.2652470156130013,2024-09-09
Biden,Wisconsin,-0.09951066251573094,0.1895027156068756,2024-09-09
Harris,Wisconsin,-0.2034857880727559,0.19183951712984412,2024-09-09
Biden,Wyoming,-1.173009153658529,0.2702469341770443,2024-09-09
Harris,Wyoming,-1.3277020564198527,0.30374870688720723,2024-09-09
